last_name,first_name,dob,gender,team_cat,country_short,team_short,team_long,code
CONTI,Valerio,30/03/1993,Male,WTT,(Ita),UAD,UAE TEAM EMIRATES,10007518692
CONTRERAS PINZON,Rodrigo,02/06/1994,Male,WTT,(Col),AST,ASTANA PRO TEAM,10009360783
COQUARD,Bryan,25/04/1992,Male,PCT,(Fra),VCB,VITAL CONCEPT - B&B HOTELS,10006895064
CORDON RAGOT,Audrey,22/09/1989,Female,CTW,(Fra),TFS,TREK - SEGAFREDO,10005540906
COSNEFROY,Benoit,17/10/1995,Male,WTT,(Fra),ALM,AG2R LA MONDIALE,10007952263
COSTA,Rui,05/10/1986,Male,WTT,(Por),UAD,UAE TEAM EMIRATES,10003259685
COSTON,Morgane,28/12/1990,Female,CTW,(Fra),SER,SERVETTO - PIUMATE - BELTRAMI TSA,10014322739
COTE,Pier Andre,24/04/1997,Male,PCT,(Can),RLY,RALLY UHC CYCLING,10076567841
COURTEILLE,Arnaud,13/03/1989,Male,PCT,(Fra),VCB,VITAL CONCEPT - B&B HOTELS,10006255470
COUSIN,Jerome,05/06/1989,Male,PCT,(Fra),TDE,DIRECT ENERGIE,10005852922
COVILI,Luca,10/02/1997,Male,PCT,(Ita),BRD,BARDIANI CSF,10010185788
COVRIG,Ana Maria,08/12/1994,Female,CTW,(Rom),SBT,EUROTARGET - BIANCHI - VITTORIA,10008668144
CRADDOCK,G Lawson,20/02/1992,Male,WTT,(USA),EF1,EF EDUCATION FIRST,10006885566
CRAS,Steff,13/02/1996,Male,WTT,(Bel),TKA,TEAM KATUSHA ALPECIN,10010090307
CROMWELL,Tiffany,06/07/1988,Female,CTW,(Aus),CSR,CANYON / /SRAM RACING,10004596770
CUADROS MORATA,Alvaro,12/04/1995,Male,PCT,(Spa),CJR,CAJA RURAL - SEGUROS RGA,10009393624
CUBERO GALVEZ,Jorge,06/11/1992,Male,PCT,(Spa),BBH,BURGOS - BH,10010982404
CUMMINGS,Stephen,19/03/1981,Male,WTT,(GBr),TDD,TEAM DIMENSION DATA,10002302722
CURVERS,Roy,27/12/1979,Male,WTT,(Ned),SUN,TEAM SUNWEB,10001428106
D`HOORE,Jolien,14/03/1990,Female,CTW,(Bel),DLT,BOELS DOLMANS CYCLINGTEAM,10004779050
D'AGOSTIN,Nicole,01/02/1999,Female,CTW,(Ita),BDU,BIZKAIA - DURANGO,10015496136
DAL-CIN,Matteo,14/01/1991,Male,PCT,(Can),RLY,RALLY UHC CYCLING,10006879708
DALLA VALLE,Elisa,16/01/1998,Female,CTW,(Ita),TOP,TOP GIRLS FASSA BORTOLO,10014962535
DANIEL,Maxime,05/06/1991,Male,PCT,(Fra),PCB,TEAM ARKEA - SAMSIC,10007252045
DAVIES,Scott,05/08/1995,Male,WTT,(GBr),TDD,TEAM DIMENSION DATA,10009350578
DAVIS,Cole,11/06/1999,Male,PCT,(USA),HBA,HAGENS BERMAN AXEON,10015507250
DE BAAT,Kim,29/05/1991,Female,CTW,(Bel),DVE,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,10008652683
DE BACKER,Bert,02/04/1984,Male,PCT,(Bel),VCB,VITAL CONCEPT - B&B HOTELS,10002833693
DE BIE,Sean,03/10/1991,Male,PCT,(Bel),ROC,ROOMPOT - CHARLES,10006242841
DE BOD,Stefan,17/11/1996,Male,WTT,(RSA),TDD,TEAM DIMENSION DATA,10009145161
DE BOER,Sophie,12/12/1990,Female,CTW,(Ned),PHV,PARKHOTEL VALKENBURG,10005873332
DE BUYST,Jasper,24/11/1993,Male,WTT,(Bel),LTS,LOTTO SOUDAL,10007357331
DE CLERCQ,Bart,26/08/1986,Male,PCT,(Bel),WGG,WANTY - GOBERT CYCLING TEAM,10007126147
DE DECKER,Alfdan,09/09/1996,Male,PCT,(Bel),WGG,WANTY - GOBERT CYCLING TEAM,10013892707
DE GAST,Belle,04/02/1991,Female,CTW,(Ned),PHV,PARKHOTEL VALKENBURG,10023130440
DE GENDT,Aime,17/06/1994,Male,PCT,(Bel),WGG,WANTY - GOBERT CYCLING TEAM,10007750381
DE GENDT,Thomas,06/11/1986,Male,WTT,(Bel),LTS,LOTTO SOUDAL,10004816739
DE JONG,Demi,11/02/1995,Female,CTW,(Ned),LSL,LOTTO SOUDAL LADIES,10008668952
DE KETELE,Kenny,05/06/1985,Male,PCT,(Bel),SVB,SPORT VLAANDEREN - BALOISE,10003246753
DE KORT,Koen,08/09/1982,Male,WTT,(Ned),TFS,TREK - SEGAFREDO,10002208853
DE LA CRUZ MELGAREJO,David,06/05/1989,Male,WTT,(Spa),SKY,TEAM SKY,10007175859
DE LA PARTE,Victor,22/06/1986,Male,WTT,(Spa),CPT,CCC TEAM,10007452816
DE MARCHI,Alessandro,19/05/1986,Male,WTT,(Ita),CPT,CCC TEAM,10003094280
DE PAUW,Moreno,12/08/1991,Male,PCT,(Bel),SVB,SPORT VLAANDEREN - BALOISE,10006481196
DE PLUS,Laurens,04/09/1995,Male,WTT,(Bel),TJV,TEAM JUMBO - VISMA,10010087778
DE RANIERI,Lisa,30/07/1997,Female,CTW,(Ita),CZF,CONCERIA ZABRI - FANINI,10010970781
DE ROSSI,Lucas,16/08/1995,Male,PCT,(Fra),DMP,DELKO MARSEILLE PROVENCE,10008065431
DE TIER,Floris,20/01/1992,Male,WTT,(Bel),TJV,TEAM JUMBO - VISMA,10007096138
DE VOS,Adam,21/10/1993,Male,PCT,(Can),RLY,RALLY UHC CYCLING,10008669053
DE VREESE,Laurens,29/09/1988,Male,WTT,(Bel),AST,ASTANA PRO TEAM,10004766320
DE VUYST,Sofie,02/04/1987,Female,CTW,(Bel),PHV,PARKHOTEL VALKENBURG,10004619002
DE VYLDER,Lindsay,30/05/1995,Male,PCT,(Bel),SVB,SPORT VLAANDEREN - BALOISE,10009009866
DE WITTE,Mathias,29/03/1993,Male,PCT,(Bel),ROC,ROOMPOT - CHARLES,10012748814
DEBESAY,Mosana,25/11/1993,Female,CTW,(Eri),SER,SERVETTO - PIUMATE - BELTRAMI TSA,10009674924
DEBUSSCHERE,Jens,28/08/1989,Male,WTT,(Bel),TKA,TEAM KATUSHA ALPECIN,10004819466
DECLERCQ,Benjamin,04/02/1994,Male,PCT,(Bel),SVB,SPORT VLAANDEREN - BALOISE,10008669154
DECLERCQ,Tim,21/03/1989,Male,WTT,(Bel),DQT,DECEUNINCK  -  QUICK - STEP,10005335283
DEFOUR,Lara,12/11/1997,Female,CTW,(Bel),HMT,HEALTH MATE - LADIES TEAM,10015518364
DEGAND,Thomas,13/05/1986,Male,PCT,(Bel),WGG,WANTY - GOBERT CYCLING TEAM,10003235134
DEGENKOLB,John,07/01/1989,Male,WTT,(Ger),TFS,TREK - SEGAFREDO,10005379339
DEHAES,Kenny,10/11/1984,Male,PCT,(Bel),WVA,WALLONIE BRUXELLES,10003211286
DEIGNAN,Elizabeth,18/12/1988,Female,CTW,(GBr),TFS,TREK - SEGAFREDO,10004598891
DELAGE,Mickael,06/08/1985,Male,WTT,(Fra),GFC,GROUPAMA - FDJ,10002847134
DELAPLACE,Anthony,11/09/1989,Male,PCT,(Fra),PCB,TEAM ARKEA - SAMSIC,10005874645
DELBAERE,Fien,21/04/1996,Female,CTW,(Bel),HMT,HEALTH MATE - LADIES TEAM,10009777681
DELTOMBE,Kevin,27/02/1994,Male,PCT,(Bel),SVB,SPORT VLAANDEREN - BALOISE,10008669356
DEMARE,Arnaud,26/08/1991,Male,WTT,(Fra),GFC,GROUPAMA - FDJ,10006467052
DEMAY,Coralie,10/10/1992,Female,CTW,(Fra),FDJ,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,10007773825
DEMEY,Valerie,17/01/1994,Female,CTW,(Bel),CCC,CCC - LIV,10008669457
DENNIS,Rohan,28/05/1990,Male,WTT,(Aus),TBM,BAHRAIN - MERIDA,10005889193
DENZ,Nico,15/02/1994,Male,WTT,(Ger),ALM,AG2R LA MONDIALE,10008669659
DESSART,Marie,13/12/1980,Female,CTW,(Bel),LSL,LOTTO SOUDAL LADIES,10049803420
DEVENYNS,Dries,22/07/1983,Male,WTT,(Bel),DQT,DECEUNINCK  -  QUICK - STEP,10002728411
DEVRIENDT,Tom,29/10/1991,Male,PCT,(Bel),WGG,WANTY - GOBERT CYCLING TEAM,10007760687
DEWULF,Stan,20/12/1997,Male,WTT,(Bel),LTS,LOTTO SOUDAL,10011133055
DEYKO,Olga,23/12/1995,Female,CTW,(Rus),CGS,COGEAS METTLER LOOK PRO CYCLING TEAM,10013920086
DICKINSON,Eleanor,04/06/1998,Female,CTW,(GBr),DRP,DROPS,10010170634
DIDERIKSEN,Amalie,24/05/1996,Female,CTW,(Den),DLT,BOELS DOLMANS CYCLINGTEAM,10009487085
DILLIER,Silvan,03/08/1990,Male,WTT,(Swi),ALM,AG2R LA MONDIALE,10005865248
DLAMINI,Nicholas,12/08/1995,Male,WTT,(RSA),TDD,TEAM DIMENSION DATA,10009990374
DOBRYNINA,Kseniia,11/01/1994,Female,CTW,(Rus),SER,SERVETTO - PIUMATE - BELTRAMI TSA,10007900632
DOCKER,Mitchell,02/10/1986,Male,WTT,(Aus),EF1,EF EDUCATION FIRST,10003032848
DOCX,Mieke,08/06/1996,Female,CTW,(Bel),DVE,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,10009861951
DOEBEL-HICKOK,Krista,28/04/1989,Female,CTW,(USA),RLW,RALLY UHC CYCLING,10009377961
DOM,Annelies,08/04/1986,Female,CTW,(Bel),LSL,LOTTO SOUDAL LADIES,10007860014
DOMBROWSKI,Joseph Lloyd,12/05/1991,Male,WTT,(USA),EF1,EF EDUCATION FIRST,10007491717
DOMONT,Axel,07/08/1990,Male,WTT,(Fra),ALM,AG2R LA MONDIALE,10007723103
DOUBEY,Fabien,21/10/1993,Male,PCT,(Fra),WGG,WANTY - GOBERT CYCLING TEAM,10007245779
DOULL,Owain,02/05/1993,Male,WTT,(GBr),SKY,TEAM SKY,10007223450
DOWSETT,Alex,03/10/1988,Male,WTT,(GBr),TKA,TEAM KATUSHA ALPECIN,10004881508
DRAGOO,Allie,17/12/1989,Female,CTW,(USA),T20,SHO - AIR TWENTY20,10007255075
DREXEL CLOUTHIER,Ingrid,28/07/1993,Female,CTW,(Mex),TIB,TEAM TIBCO - SILICON VALLEY BANK,10007199707
DRUCKER,Jean-Pierre,03/09/1986,Male,WTT,(Lux),BOH,BORA - HANSGROHE,10002986065
DRUYTS,Demmy,04/10/1995,Female,CTW,(Bel),DVE,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,10009135158
DRUYTS,Kelly,21/10/1989,Female,CTW,(Bel),DVE,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,10004779353
DRUYTS,Lenny,18/05/1997,Female,CTW,(Bel),DVE,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,10009972590
DUCHESNE,Antoine,12/09/1991,Male,WTT,(Can),GFC,GROUPAMA - FDJ,10006879607
DUEHRING,Jasmin,08/07/1992,Female,CTW,(Can),T20,SHO - AIR TWENTY20,10053708678
DUIJN,Huub,01/09/1984,Male,PCT,(Ned),ROC,ROOMPOT - CHARLES,10002833592
DUMOULIN,Samuel,20/08/1980,Male,WTT,(Fra),ALM,AG2R LA MONDIALE,10001573202
DUMOULIN,Tom,11/11/1990,Male,WTT,(Ned),SUN,TEAM SUNWEB,10007389259
DUNBAR,Edward,01/09/1996,Male,WTT,(Irl),SKY,TEAM SKY,10009793950
DUPONT,Hubert,13/11/1980,Male,WTT,(Fra),ALM,AG2R LA MONDIALE,10003230888
DUPONT,Timothy,01/11/1987,Male,PCT,(Bel),WGG,WANTY - GOBERT CYCLING TEAM,10005902230
URASEK,Kristijan,26/07/1987,Male,WTT,(Cro),UAD,UAE TEAM EMIRATES,10003269688
DURBRIDGE,Luke,09/04/1991,Male,WTT,(Aus),MTS,MITCHELTON - SCOTT,10006291240
DUVAL,Eugénie,03/05/1993,Female,CTW,(Fra),FDJ,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,10007742705
DUVAL,Julien,27/05/1990,Male,WTT,(Fra),ALM,AG2R LA MONDIALE,10005969524
DUYCK,Ann-Sophie,23/07/1987,Female,CTW,(Bel),PHV,PARKHOTEL VALKENBURG,10007971562
DYGERT,Chloe,01/01/1997,Female,CTW,(USA),T20,SHO - AIR TWENTY20,10010971690
DZEDZIKAVA,Anastasiya,02/01/1997,Female,CTW,(Blr),MCC,MINSK CYCLING CLUB,10009683715
EDET,Nicolas,02/12/1987,Male,PCT,(Fra),COF,COFIDIS SOLUTIONS CREDITS,10006144831
EDMONDSON,Alexander,22/12/1993,Male,WTT,(Aus),MTS,MITCHELTON - SCOTT,10007229817
EENKHOORN,Pascal,08/02/1997,Male,WTT,(Ned),TJV,TEAM JUMBO - VISMA,10009334515
EG,Niklas,06/01/1995,Male,WTT,(Den),TFS,TREK - SEGAFREDO,10008670871
EGHOLM,Jakob,27/04/1998,Male,PCT,(Den),HBA,HAGENS BERMAN AXEON,10009879129
EIKING,Odd Christian,28/12/1994,Male,PCT,(Nor),WGG,WANTY - GOBERT CYCLING TEAM,10008671073
EISEL,Bernhard,17/02/1981,Male,WTT,(Aut),TDD,TEAM DIMENSION DATA,10001546324
EL FARES,Julien,01/06/1985,Male,PCT,(Fra),DMP,DELKO MARSEILLE PROVENCE,10004680333
ELBUSTO ARTEAGA,Ainara,10/09/1992,Female,CTW,(Spa),BDU,BIZKAIA - DURANGO,10040173138
ELISSONDE,Kenny,22/07/1991,Male,WTT,(Fra),SKY,TEAM SKY,10007559213
ELLSAY,Gillian,26/03/1997,Female,CTW,(Can),RLW,RALLY UHC CYCLING,10010116373
ELLSAY,Nigel,30/04/1994,Male,PCT,(Can),RLY,RALLY UHC CYCLING,10008671477
ELVIN,Gracie,31/10/1988,Female,CTW,(Aus),MTS,MITCHELTON SCOTT,10005763194
ENSING,Janneke,21/09/1986,Female,CTW,(Ned),SUN,TEAM SUNWEB,10006727538
ERATH,Tanja,07/10/1989,Female,CTW,(Ger),CSR,CANYON / /SRAM RACING,10054395762
ERAUD,Severine,24/02/1995,Female,CTW,(Fra),DVE,DOLTCINI - VAN EYCK SPORT UCI WOMEN CYCLING,10008671578
ERI,Jelena,15/01/1996,Female,CTW,(Srb),ALE,ALE CIPOLLINI,10007762408
ERIKSSON,Lucas,10/04/1996,Male,PCT,(Swe),RIW,RIWAL READYNEZ CYCLING TEAM,10009421411
ERMENAULT,Corentin,27/01/1996,Male,PCT,(Fra),VCB,VITAL CONCEPT - B&B HOTELS,10009155972
ERVITI,Imanol,15/11/1983,Male,WTT,(Spa),MOV,MOVISTAR TEAM,10003200879
EVTUSHENKO,Alexander,30/06/1993,Male,PCT,(Rus),GAZ,GAZPROM - RUSVELO,10008705025
EWAN,Caleb,11/07/1994,Male,WTT,(Aus),LTS,LOTTO SOUDAL,10007809490
EZQUERRA MUELA,Jesus,30/11/1990,Male,PCT,(Spa),BBH,BURGOS - BH,10045497024
FABBRO,Matteo,10/04/1995,Male,WTT,(Ita),TKA,TEAM KATUSHA ALPECIN,10009095954
FAHLIN,Emilia,24/10/1988,Female,CTW,(Swe),FDJ,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,10004597881
FASOI,Varvara,02/02/1991,Female,CTW,(Gre),EIC,ENEICUE CYCLING TEAM,10007934681
FEDELI,Alessandro,02/03/1996,Male,PCT,(Ita),DMP,DELKO MARSEILLE PROVENCE,10010166186
FEDRIGO,Leonardo,21/07/1996,Male,PCT,(Ita),ANS,ANDRONI GIOCATTOLI - SIDERMEC,10009501435
FEILLU,Brice,26/07/1985,Male,PCT,(Fra),PCB,TEAM ARKEA - SAMSIC,10005548380
FELDMANN,Pernille Larsen,01/02/2000,Female,CTW,(Nor),HPU,HITEC PRODUCTS - BIRK SPORT,10014867050
FELLINE,Fabio,29/03/1990,Male,WTT,(Ita),TFS,TREK - SEGAFREDO,10005982456
FENG,Chun Kai,02/11/1988,Male,WTT,(Tpe),TBM,BAHRAIN - MERIDA,10005601429
FERNANDES SILVA,Clemilda,25/06/1979,Female,CTW,(Bra),SBT,EUROTARGET - BIANCHI - VITTORIA,10002697085
FERNANDEZ CRUZ,Delio,17/02/1986,Male,PCT,(Spa),DMP,DELKO MARSEILLE PROVENCE,10006142811
FERNANDEZ,Ruben,01/03/1991,Male,WTT,(Spa),MOV,MOVISTAR TEAM,10006587694
FERRAND PREVOT,Pauline,10/02/1992,Female,CTW,(Fra),CSR,CANYON / /SRAM RACING,10006629831
FERRARI,Roberto,09/03/1983,Male,WTT,(Ita),UAD,UAE TEAM EMIRATES,10002751346
FERRERES NAVARRO,Isabel,08/10/1998,Female,CTW,(Spa),SWT,SOPELA WOMEN'S TEAM,10010180233
FETISHI,Keti,15/04/1997,Female,CTW,(Alb),CZF,CONCERIA ZABRI - FANINI,10055713952
FIDANZA,Arianna,06/01/1995,Female,CTW,(Ita),SBT,EUROTARGET - BIANCHI - VITTORIA,10008672689
FIDANZA,Martina,05/11/1999,Female,CTW,(Ita),SBT,EUROTARGET - BIANCHI - VITTORIA,10015662349
FILOSI,Iuri,17/01/1992,Male,PCT,(Ita),DMP,DELKO MARSEILLE PROVENCE,10009362908
FINETTO,Mauro,10/05/1985,Male,PCT,(Ita),DMP,DELKO MARSEILLE PROVENCE,10002926552
FLOREZ LOPEZ,Miguel Eduardo,21/02/1996,Male,PCT,(Col),ANS,ANDRONI GIOCATTOLI - SIDERMEC,10010984020
FOMINYKH,Daniil,28/08/1991,Male,WTT,(Kaz),AST,ASTANA PRO TEAM,10006500701
FONZI,Giuseppe,02/08/1991,Male,PCT,(Ita),THR,THARCOR,10008896601
FORMOLO,Davide,25/10/1992,Male,WTT,(Ita),BOH,BORA - HANSGROHE,10007518591
FORTIN,Filippo,01/02/1989,Male,PCT,(Ita),COF,COFIDIS SOLUTIONS CREDITS,10006547884
FORTUNATO,Lorenzo,09/05/1996,Male,PCT,(Ita),THR,THARCOR,10011235008
FOURNIER,Marc,12/11/1994,Male,PCT,(Fra),VCB,VITAL CONCEPT - B&B HOTELS,10007893457
FOURNIER,Roxane,07/11/1991,Female,CTW,(Fra),MOV,MOVISTAR TEAM WOMEN,10006578907
FRAILE MAS,Andrea,02/01/1993,Female,CTW,(Spa),EIC,ENEICUE CYCLING TEAM,10007992477
FRAILE MATARRANZ,Omar,17/07/1990,Male,WTT,(Spa),AST,ASTANA PRO TEAM,10007991972
FRAME,Alex,18/06/1993,Male,WTT,(NZl),TFS,TREK - SEGAFREDO,10007229514
FRANCHI,Elena,26/08/1996,Female,CTW,(Ita),SBT,EUROTARGET - BIANCHI - VITTORIA,10009821737
FRANK,Mathias,09/12/1986,Male,WTT,(Swi),ALM,AG2R LA MONDIALE,10003261709
FRANKINY,Kilian,26/01/1994,Male,WTT,(Swi),GFC,GROUPAMA - FDJ,10008672790
FRANZ,Heidi,14/01/1995,Female,CTW,(USA),RLW,RALLY UHC CYCLING,10049920527
FRAPPORTI,Marco,30/03/1985,Male,PCT,(Ita),ANS,ANDRONI GIOCATTOLI - SIDERMEC,10004501891
FRAPPORTI,Mattia,02/07/1994,Male,PCT,(Ita),ANS,ANDRONI GIOCATTOLI - SIDERMEC,10008672891
FRISON,Frederik,28/07/1992,Male,WTT,(Bel),LTS,LOTTO SOUDAL,10007524655
FRÖHLINGER,Johannes,09/06/1985,Male,WTT,(Ger),SUN,TEAM SUNWEB,10003092866
FROOME,Chris,20/05/1985,Male,WTT,(GBr),SKY,TEAM SKY,10004393676
FUGLSANG,Jakob,22/03/1985,Male,WTT,(Den),AST,ASTANA PRO TEAM,10003401246
GABBURO,Davide,01/04/1993,Male,PCT,(Ita),THR,THARCOR,10007742503
GAIO,Aurora,18/02/1999,Female,CTW,(Ita),SER,SERVETTO - PIUMATE - BELTRAMI TSA,10015659622
GALLOPIN,Tony,24/05/1988,Male,WTT,(Fra),ALM,AG2R LA MONDIALE,10004433789
GANNA,Filippo,25/07/1996,Male,WTT,(Ita),SKY,TEAM SKY,10009164056
GANZAR,Leigh Ann,08/09/1989,Female,CTW,(USA),HBS,HAGENS BERMAN / SUPERMINT,10078179758
GARCIA CAÑELLAS,Margarita Victo,02/01/1984,Female,CTW,(Spa),MOV,MOVISTAR TEAM WOMEN,10039854755
GARCIA CORTINA,Ivan,20/11/1995,Male,WTT,(Spa),TBM,BAHRAIN - MERIDA,10008658545
GARCIA SOSA,Jhojan Orlando,10/01/1998,Male,PCT,(Col),MZN,MANZANA POSTOBON TEAM,10035195725
GAREL,Adrien,12/03/1996,Male,PCT,(Fra),VCB,VITAL CONCEPT - B&B HOTELS,10009715946
GARNER,Grace,19/06/1997,Female,CTW,(GBr),HPU,HITEC PRODUCTS - BIRK SPORT,10010199229
GARNER,Lucy,20/09/1994,Female,CTW,(GBr),HPU,HITEC PRODUCTS - BIRK SPORT,10008652481
GAROSIO,Andrea,06/12/1993,Male,WTT,(Ita),TBM,BAHRAIN - MERIDA,10009700889
GARRISON,Ian,14/04/1998,Male,PCT,(USA),HBA,HAGENS BERMAN AXEON,10015311028
GÅSKJENN,Ingvild,01/07/1998,Female,CTW,(Nor),HPU,HITEC PRODUCTS - BIRK SPORT,10010171543
GASPARINI,Alice,14/12/1997,Female,CTW,(Ita),SBT,EUROTARGET - BIANCHI - VITTORIA,10010970983
GASPAROTTO,Enrico,22/03/1982,Male,WTT,(Ita),TDD,TEAM DIMENSION DATA,10002350414
GASTAUER,Ben,14/11/1987,Male,WTT,(Lux),ALM,AG2R LA MONDIALE,10003272015
GATTO,Oscar,01/01/1985,Male,WTT,(Ita),BOH,BORA - HANSGROHE,10004693568
GAUDIN,Damien,20/08/1986,Male,PCT,(Fra),TDE,DIRECT ENERGIE,10003097314
GAUDU,David,10/10/1996,Male,WTT,(Fra),GFC,GROUPAMA - FDJ,10011235109
GAUTIER,Cyril,26/09/1987,Male,PCT,(Fra),VCB,VITAL CONCEPT - B&B HOTELS,10003225030
GAVAZZI,Francesco,01/08/1984,Male,PCT,(Ita),ANS,ANDRONI GIOCATTOLI - SIDERMEC,10003200475
GAVIRIA RENDON,Fernando,19/08/1994,Male,WTT,(Col),UAD,UAE TEAM EMIRATES,10008656828
GEDIMINAS,Bagdonas,26/12/1985,Male,WTT,(Ltu),ALM,AG2R LA MONDIALE,10003097516
GENE,Yohann,25/06/1981,Male,PCT,(Fra),TDE,DIRECT ENERGIE,10002941205
GENIEZ,Alexandre,16/04/1988,Male,WTT,(Fra),ALM,AG2R LA MONDIALE,10006045508
GEOGHEGAN HART,Tao,30/03/1995,Male,WTT,(GBr),SKY,TEAM SKY,10008673501
GEORGI,Pfeiffer,27/09/2000,Female,CTW,(GBr),SUN,TEAM SUNWEB,10015335074
GEPPI,Leonora,09/12/1999,Female,CTW,(Ita),CZF,CONCERIA ZABRI - FANINI,10015661945
GESBERT,Elie,01/07/1995,Male,PCT,(Fra),PCB,TEAM ARKEA - SAMSIC,10007995814
GESCHKE,Simon,13/03/1986,Male,WTT,(Ger),CPT,CCC TEAM,10003204418
GESINK,Robert,31/05/1986,Male,WTT,(Ned),TJV,TEAM JUMBO - VISMA,10048456433
GHEBREIGZABHIER WERKILUL,Amanuel,17/08/1994,Male,WTT,(Eri),TDD,TEAM DIMENSION DATA,10009583883
GHYS,Robbe,11/01/1997,Male,PCT,(Bel),SVB,SPORT VLAANDEREN - BALOISE,10009991182
GIBBONS,Ryan,13/08/1994,Male,WTT,(RSA),TDD,TEAM DIMENSION DATA,10008673804
GIBSON,Matthew,02/09/1996,Male,PCT,(GBr),BBH,BURGOS - BH,10009499112
GIDICH,Yevgeniy,19/05/1996,Male,WTT,(Kaz),AST,ASTANA PRO TEAM,10009816077
GIL RANERO,Saioa,18/02/2000,Female,CTW,(Spa),EIC,ENEICUE CYCLING TEAM,10023553907
GILABERT VILAPLANA,Ariana,12/04/2000,Female,CTW,(Spa),BDU,BIZKAIA - DURANGO,10040757158
GILBERT,Philippe,05/07/1982,Male,WTT,(Bel),DQT,DECEUNINCK  -  QUICK - STEP,10002416694
GILLOW,Shara,23/12/1987,Female,CTW,(Aus),FDJ,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,10007126551
GODON,Dorian,25/05/1996,Male,WTT,(Fra),ALM,AG2R LA MONDIALE,10011235311
GOGL,Michael,04/11/1993,Male,WTT,(Aut),TFS,TREK - SEGAFREDO,10007522332
GOLAS,Michal,29/04/1984,Male,WTT,(Pol),SKY,TEAM SKY,10002630401
GOLDMAN,Lindsay,31/10/1984,Female,CTW,(USA),HBS,HAGENS BERMAN / SUPERMINT,10008951565
GOMEZ PEÑALOZA,Bryan Steve,19/11/1994,Male,PCT,(Col),MZN,MANZANA POSTOBON TEAM,10009565594
GONÇALVES,Domingos,13/02/1989,Male,PCT,(Por),CJR,CAJA RURAL - SEGUROS RGA,10007889417
GONZALEZ BLANCO,Alicia,27/05/1995,Female,CTW,(Spa),MOV,MOVISTAR TEAM WOMEN,10008601860
GONZALEZ BLANCO,Lucia,09/07/1990,Female,CTW,(Spa),BDU,BIZKAIA - DURANGO,10005976190
GONZALEZ LOPEZ,David,21/02/1996,Male,PCT,(Spa),CJR,CAJA RURAL - SEGUROS RGA,10041823350
GONZALEZ SALAS,Mario,06/06/1992,Male,PCT,(Spa),EUS,EUSKADI BASQUE COUNTRY - MURIAS,10045496923
GOROSTIZA ULLOA,Aroa,07/05/1999,Female,CTW,(Spa),BDU,BIZKAIA - DURANGO,10015390446
GOUGEARD,Alexis,05/03/1993,Male,WTT,(Fra),ALM,AG2R LA MONDIALE,10007743109
GRADEK,Kamil,17/09/1990,Male,WTT,(Pol),CPT,CCC TEAM,10005750262
GRANGIER,India,05/01/2000,Female,CTW,(Fra),CMW,CHARENTE - MARITIME WOMEN CYCLING,10025981028
GREGAARD WILSLY,Jonas,30/07/1996,Male,WTT,(Den),AST,ASTANA PRO TEAM,10009765860
GREIPEL,André,16/07/1982,Male,PCT,(Ger),PCB,TEAM ARKEA - SAMSIC,10002214311
GRELLIER,Fabien,31/10/1994,Male,PCT,(Fra),TDE,DIRECT ENERGIE,10008934791
GRINCZER,Natalie,15/11/1993,Female,CTW,(GBr),BDU,BIZKAIA - DURANGO,10013958482
GRMAY,Tsgabu Gebremaryam,25/08/1991,Male,WTT,(Eth),MTS,MITCHELTON - SCOTT,10007807672
GROENEWEGEN,Dylan,21/06/1993,Male,WTT,(Ned),TJV,TEAM JUMBO - VISMA,10007293269
GROSSETETE,Maëlle,10/04/1998,Female,CTW,(Fra),FDJ,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,10009877008
GROSSSCHARTNER,Felix,23/12/1993,Male,WTT,(Aut),BOH,BORA - HANSGROHE,10011081424
GROSU,Eduard-Michael,04/09/1992,Male,PCT,(Rom),DMP,DELKO MARSEILLE PROVENCE,10006875159
GRUZDEV,Dmitriy,13/03/1986,Male,WTT,(Kaz),AST,ASTANA PRO TEAM,10004828459
GUARDINI,Andrea,12/06/1989,Male,PCT,(Ita),BRD,BARDIANI CSF,10005503217
GUARISCHI,Barbara,02/10/1990,Female,CTW,(Ita),TVC,TEAM VIRTU CYCLING,10005886365
GUARNIER,Megan,04/05/1985,Female,CTW,(USA),TIB,TEAM TIBCO - SILICON VALLEY BANK,10005894146
GUARNIERI,Jacopo,14/08/1987,Male,WTT,(Ita),GFC,GROUPAMA - FDJ,10003284543
GUAZZINI,Vittoria,26/12/2000,Female,CTW,(Ita),VAL,VALCAR CYLANCE CYCLING,10015339118
GUDERZO,Tatiana,22/08/1984,Female,CTW,(Ita),BPK,BEPINK,10002741545
GUERIN,Alexis,06/06/1992,Male,PCT,(Fra),DMP,DELKO MARSEILLE PROVENCE,10008853353
